Molecule,Natty (CCSD_T_DZ),Ref - Nat (CCSD_T_DZ),Ref (CCSD_T_TZ),Red (CCSD_T_DZ),Ref - Red (CCSD_T_DZ),Nat - Red CCSD_T_DZ,"Natty (B3LYP_6-31G_2df,p_)","Ref - Nat (B3LYP_6-31G_2df,p_)","Red (B3LYP_6-31G_2df,p_)","Ref - Red (B3LYP_6-31G_2df,p_)","Nat - Red B3LYP_6-31G_2df,p_"
CH3COCH3 (1.73) mode 22,3110.24,0.04,3110.28,3110.33,-0.05,-0.09,3110.27,0.01,3110.27,0.01,-0.00
CH3COCH3 (1.73) mode 23,3157.74,0.07,3157.81,3157.73,0.08,0.01,3157.80,0.01,3157.80,0.01,-0.00
CH3COCH3 (1.73) mode 24,3159.20,0.06,3159.26,3159.21,0.05,-0.01,3159.25,0.01,3159.26,0.00,-0.01
CH3CH2CH2Cl (1.74) mode 1,117.46,-0.06,117.40,117.46,-0.06,0.00,117.50,-0.09,117.50,-0.10,-0.00
CH3CH2CH2Cl (1.74) mode 2,231.66,-0.04,231.61,231.65,-0.04,0.01,231.69,-0.08,231.58,0.04,0.12
CH3CH2CH2Cl (1.74) mode 3,233.18,-0.01,233.16,233.18,-0.01,0.00,233.23,-0.06,233.37,-0.21,-0.15
CH3CH2CH2Cl (1.74) mode 4,363.89,-0.04,363.85,363.89,-0.04,-0.00,363.93,-0.08,363.92,-0.07,0.00
CH3CH2CH2Cl (1.74) mode 5,750.99,-0.04,750.95,751.07,-0.12,-0.08,751.00,-0.05,750.94,0.01,0.06
CH3CH2CH2Cl (1.74) mode 6,757.82,-0.04,757.78,757.77,0.01,0.05,758.09,-0.31,758.13,-0.35,-0.04
CH3CH2CH2Cl (1.74) mode 7,870.16,-0.05,870.11,870.19,-0.08,-0.03,870.17,-0.06,870.13,-0.03,0.03
CH3CH2CH2Cl (1.74) mode 8,915.61,-0.44,915.17,915.62,-0.45,-0.01,915.43,-0.26,915.49,-0.32,-0.07
CH3CH2CH2Cl (1.74) mode 9,1056.62,-1.07,1055.55,1056.63,-1.07,-0.00,1056.38,-0.83,1056.38,-0.83,0.00
CH3CH2CH2Cl (1.74) mode 10,1097.34,-0.01,1097.32,1097.29,0.03,0.04,1097.39,-0.07,1097.61,-0.29,-0.22
CH3CH2CH2Cl (1.74) mode 11,1125.71,0.27,1125.98,1125.77,0.20,-0.06,1125.77,0.20,1125.69,0.28,0.08
CH3CH2CH2Cl (1.74) mode 12,1251.32,0.00,1251.33,1251.36,-0.04,-0.04,1251.26,0.07,1251.14,0.18,0.12
CH3CH2CH2Cl (1.74) mode 13,1284.82,-0.12,1284.71,1284.77,-0.06,0.05,1284.81,-0.11,1284.80,-0.10,0.01
CH3CH2CH2Cl (1.74) mode 14,1322.91,0.01,1322.93,1322.88,0.04,0.03,1322.91,0.01,1322.89,0.03,0.02
CH3CH2CH2Cl (1.74) mode 15,1375.63,-0.44,1375.19,1375.40,-0.21,0.23,1375.05,0.14,1375.30,-0.11,-0.25
CH3CH2CH2Cl (1.74) mode 16,1413.64,0.92,1414.57,1413.86,0.71,-0.21,1414.01,0.55,1414.01,0.56,0.00
CH3CH2CH2Cl (1.74) mode 17,1493.63,-0.58,1493.06,1494.19,-1.14,-0.56,1493.09,-0.03,1493.00,0.05,0.09
CH3CH2CH2Cl (1.74) mode 18,1498.81,0.76,1499.57,1498.37,1.20,0.44,1499.62,-0.05,1499.64,-0.07,-0.02
CH3CH2CH2Cl (1.74) mode 19,1506.48,-0.04,1506.44,1506.49,-0.05,-0.01,1506.45,-0.01,1506.43,0.01,0.02
CH3CH2CH2Cl (1.74) mode 20,1514.41,0.05,1514.46,1514.28,0.18,0.13,1514.27,0.19,1514.16,0.30,0.11
CH3CH2CH2Cl (1.74) mode 21,3033.90,-0.14,3033.76,3033.93,-0.16,-0.02,3033.81,-0.05,3033.82,-0.06,-0.01
CH3CH2CH2Cl (1.74) mode 22,3054.11,0.01,3054.12,3054.13,-0.01,-0.02,3054.02,0.10,3054.01,0.11,0.01
CH3CH2CH2Cl (1.74) mode 23,3079.61,0.16,3079.76,3079.61,0.15,-0.00,3079.73,0.03,3079.73,0.03,0.00
CH3CH2CH2Cl (1.74) mode 24,3086.94,-0.15,3086.79,3086.91,-0.13,0.03,3086.83,-0.05,3086.84,-0.06,-0.01
CH3CH2CH2Cl (1.74) mode 25,3108.21,0.07,3108.28,3108.13,0.15,0.08,3108.20,0.08,3108.25,0.03,-0.05
CH3CH2CH2Cl (1.74) mode 26,3116.50,0.15,3116.65,3116.58,0.07,-0.08,3116.68,-0.03,3116.66,-0.01,0.02
CH3CH2CH2Cl (1.74) mode 27,3139.39,0.07,3139.46,3139.37,0.09,0.03,3139.48,-0.02,3139.44,0.02,0.04
CH3CH2OCH3 (1.75) mode 1,112.92,-0.07,112.85,112.92,-0.07,0.00,113.27,-0.42,113.27,-0.41,0.01
CH3CH2OCH3 (1.75) mode 2,210.00,-0.21,209.79,210.00,-0.21,0.00,210.05,-0.26,210.10,-0.31,-0.05
CH3CH2OCH3 (1.75) mode 3,259.10,0.02,259.12,259.10,0.02,-0.00,258.90,0.23,258.86,0.26,0.04
CH3CH2OCH3 (1.75) mode 4,288.87,-0.08,288.79,288.88,-0.09,-0.01,288.89,-0.10,288.90,-0.12,-0.02
CH3CH2OCH3 (1.75) mode 5,468.26,-0.05,468.22,468.26,-0.04,0.01,468.26,-0.05,468.26,-0.05,0.00
CH3CH2OCH3 (1.75) mode 6,820.74,-0.02,820.71,820.73,-0.02,0.00,820.81,-0.09,820.76,-0.04,0.05
CH3CH2OCH3 (1.75) mode 7,875.12,-0.24,874.88,875.12,-0.24,-0.01,875.22,-0.33,875.26,-0.38,-0.05
CH3CH2OCH3 (1.75) mode 8,1049.22,-0.79,1048.43,1049.18,-0.75,0.04,1048.58,-0.15,1048.57,-0.13,0.02
CH3CH2OCH3 (1.75) mode 9,1118.95,0.14,1119.09,1118.98,0.11,-0.03,1119.25,-0.16,1119.29,-0.20,-0.03
CH3CH2OCH3 (1.75) mode 10,1171.93,-0.19,1171.74,1171.90,-0.16,0.03,1171.95,-0.20,1172.09,-0.35,-0.15
CH3CH2OCH3 (1.75) mode 11,1174.32,-0.14,1174.17,1174.28,-0.12,0.03,1175.24,-1.06,1175.41,-1.24,-0.18
CH3CH2OCH3 (1.75) mode 12,1204.55,0.11,1204.65,1204.57,0.08,-0.02,1204.64,0.02,1204.53,0.12,0.11
CH3CH2OCH3 (1.75) mode 13,1244.71,0.01,1244.72,1244.73,-0.01,-0.02,1244.00,0.73,1244.04,0.68,-0.04
CH3CH2OCH3 (1.75) mode 14,1301.17,0.02,1301.19,1301.19,0.00,-0.01,1301.03,0.16,1300.98,0.21,0.06
CH3CH2OCH3 (1.75) mode 15,1396.75,-0.09,1396.68,1396.69,-0.01,0.06,1396.73,-0.07,1396.79,-0.11,-0.05
CH3CH2OCH3 (1.75) mode 16,1431.67,0.06,1431.72,1432.18,-0.45,-0.50,1431.44,0.29,1431.38,0.35,0.06
CH3CH2OCH3 (1.75) mode 17,1481.74,-0.78,1480.96,1480.91,0.05,0.83,1481.01,-0.05,1481.04,-0.09,-0.03
CH3CH2OCH3 (1.75) mode 18,1490.32,-0.03,1490.30,1490.34,-0.04,-0.01,1490.30,0.00,1490.28,0.02,0.02
CH3CH2OCH3 (1.75) mode 19,1495.42,-0.05,1495.37,1495.39,-0.02,0.03,1495.31,0.06,1495.29,0.08,0.01
CH3CH2OCH3 (1.75) mode 20,1506.63,0.27,1506.90,1506.50,0.40,0.12,1507.19,-0.30,1506.93,-0.03,0.27
CH3CH2OCH3 (1.75) mode 21,1515.32,0.33,1515.65,1515.47,0.18,-0.16,1515.30,0.35,1515.31,0.34,-0.02
CH3CH2OCH3 (1.75) mode 22,1537.80,0.49,1538.28,1538.18,0.10,-0.39,1538.06,0.23,1538.16,0.12,-0.10
CH3CH2OCH3 (1.75) mode 23,2971.41,-0.02,2971.39,2971.42,-0.03,-0.01,2971.36,0.03,2971.37,0.02,-0.01
CH3CH2OCH3 (1.75) mode 24,2985.19,0.06,2985.25,2985.24,0.01,-0.05,2985.20,0.05,2985.19,0.06,0.01
CH3CH2OCH3 (1.75) mode 25,3002.07,-0.07,3002.00,3002.03,-0.03,0.04,3002.00,-0.00,3002.01,-0.01,-0.01
CH3CH2OCH3 (1.75) mode 26,3034.68,0.04,3034.72,3034.68,0.04,0.01,3034.72,-0.00,3034.70,0.02,0.02
CH3CH2OCH3 (1.75) mode 27,3045.71,0.05,3045.76,3045.75,0.01,-0.04,3045.74,0.02,3045.74,0.02,-0.00
CH3CH2OCH3 (1.75) mode 28,3123.67,0.07,3123.74,3123.68,0.06,-0.00,3123.73,0.01,3123.71,0.03,0.02
CH3CH2OCH3 (1.75) mode 29,3127.96,0.10,3128.05,3127.92,0.13,0.03,3127.93,0.12,3127.53,0.53,0.41
CH3CH2OCH3 (1.75) mode 30,3128.65,0.03,3128.68,3128.63,0.05,0.02,3128.78,-0.10,3129.23,-0.56,-0.45
CH3CHOHCH3 (1.76) mode 1,226.97,-2.47,224.49,226.95,-2.45,0.02,225.62,-1.12,225.68,-1.18,-0.06
CH3CHOHCH3 (1.76) mode 2,271.17,-0.25,270.92,271.15,-0.23,0.01,271.13,-0.21,271.13,-0.21,0.00
CH3CHOHCH3 (1.76) mode 3,272.61,0.38,272.99,272.70,0.30,-0.08,272.56,0.44,272.47,0.52,0.08
CH3CHOHCH3 (1.76) mode 4,357.77,-0.03,357.74,357.78,-0.04,-0.01,357.77,-0.03,357.75,-0.02,0.01
CH3CHOHCH3 (1.76) mode 5,424.44,0.84,425.28,424.40,0.88,0.04,425.22,0.06,425.23,0.05,-0.01
CH3CHOHCH3 (1.76) mode 6,464.64,-0.03,464.61,464.63,-0.02,0.01,464.70,-0.09,464.72,-0.11,-0.02
CH3CHOHCH3 (1.76) mode 7,826.33,-0.34,825.99,826.32,-0.32,0.02,826.09,-0.10,826.10,-0.11,-0.02
CH3CHOHCH3 (1.76) mode 8,923.02,-0.61,922.41,922.64,-0.24,0.38,923.68,-1.27,925.22,-2.82,-1.55
CH3CHOHCH3 (1.76) mode 9,939.40,-0.00,939.37,939.92,-0.55,-0.52,938.74,0.66,937.22,2.15,1.52
CH3CHOHCH3 (1.76) mode 10,983.40,-0.24,983.15,983.54,-0.38,-0.14,984.41,-1.26,984.27,-1.11,0.14
CH3CHOHCH3 (1.76) mode 11,1092.37,-0.19,1092.18,1092.18,0.00,0.19,1092.13,0.06,1092.44,-0.26,-0.31
CH3CHOHCH3 (1.76) mode 12,1160.14,-0.37,1159.79,1160.04,-0.25,0.10,1159.91,-0.14,1159.88,-0.09,0.03
CH3CHOHCH3 (1.76) mode 13,1196.32,0.11,1196.43,1196.39,0.04,-0.07,1195.82,0.61,1195.75,0.68,0.07
CH3CHOHCH3 (1.76) mode 14,1315.50,-0.15,1315.36,1315.49,-0.13,0.01,1315.30,0.06,1315.21,0.14,0.09
CH3CHOHCH3 (1.76) mode 15,1367.29,-0.14,1367.15,1367.59,-0.44,-0.30,1368.20,-1.05,1367.46,-0.31,0.73
CH3CHOHCH3 (1.76) mode 16,1403.10,0.32,1403.42,1402.86,0.56,0.24,1402.11,1.32,1403.03,0.39,-0.93
CH3CHOHCH3 (1.76) mode 17,1410.15,0.18,1410.33,1410.50,-0.17,-0.35,1412.74,-2.41,1410.53,-0.20,2.22
CH3CHOHCH3 (1.76) mode 18,1427.13,0.03,1427.15,1427.18,-0.03,-0.05,1424.69,2.46,1426.99,0.16,-2.30
CH3CHOHCH3 (1.76) mode 19,1489.19,-1.27,1487.92,1488.87,-0.95,0.32,1489.14,-1.23,1487.87,0.06,1.27
CH3CHOHCH3 (1.76) mode 20,1489.55,1.50,1491.04,1489.68,1.36,-0.13,1489.59,1.45,1490.74,0.30,-1.15
CH3CHOHCH3 (1.76) mode 21,1504.45,-0.65,1503.80,1504.37,-0.56,0.08,1504.10,-0.29,1504.00,-0.19,0.10
CH3CHOHCH3 (1.76) mode 22,1510.55,0.92,1511.47,1510.41,1.06,0.14,1511.08,0.39,1511.03,0.44,0.05
CH3CHOHCH3 (1.76) mode 23,3024.63,0.00,3024.63,3024.67,-0.04,-0.04,3024.48,0.15,3024.58,0.05,-0.10
CH3CHOHCH3 (1.76) mode 24,3028.82,-0.21,3028.61,3028.83,-0.22,-0.01,3028.66,-0.05,3028.63,-0.02,0.02
CH3CHOHCH3 (1.76) mode 25,3060.89,-0.14,3060.75,3060.92,-0.17,-0.03,3060.79,-0.04,3060.69,0.06,0.10
CH3CHOHCH3 (1.76) mode 26,3092.77,-0.01,3092.77,3092.69,0.08,0.08,3092.77,-0.01,3092.78,-0.01,-0.00
CH3CHOHCH3 (1.76) mode 27,3103.61,0.31,3103.92,3103.60,0.32,0.01,3103.92,-0.01,3103.89,0.03,0.03
CH3CHOHCH3 (1.76) mode 28,3121.43,0.10,3121.53,3121.43,0.10,-0.00,3121.51,0.02,3121.54,-0.01,-0.03
CH3CHOHCH3 (1.76) mode 29,3124.03,0.12,3124.15,3124.05,0.10,-0.02,3124.14,0.01,3124.17,-0.02,-0.03
CH3CHOHCH3 (1.76) mode 30,3819.48,0.01,3819.49,3819.48,0.01,0.00,3819.48,0.01,3819.48,0.01,0.00
CH3CH2CH3 (1.77) mode 1,215.60,-0.05,215.56,215.60,-0.05,-0.00,215.66,-0.10,215.66,-0.10,-0.00
CH3CH2CH3 (1.77) mode 2,273.46,-0.05,273.41,273.46,-0.04,0.01,273.48,-0.07,273.49,-0.07,-0.00
CH3CH2CH3 (1.77) mode 3,362.55,-0.02,362.53,362.55,-0.02,-0.00,362.59,-0.05,362.61,-0.08,-0.02
CH3CH2CH3 (1.77) mode 4,748.67,-0.04,748.63,748.68,-0.05,-0.01,748.66,-0.03,748.66,-0.04,-0.00
CH3CH2CH3 (1.77) mode 5,886.10,-0.32,885.78,886.09,-0.32,0.00,885.94,-0.16,885.95,-0.17,-0.01
CH3CH2CH3 (1.77) mode 6,906.63,-0.03,906.61,906.63,-0.02,0.00,906.66,-0.05,906.68,-0.07,-0.03
CH3CH2CH3 (1.77) mode 7,929.13,-0.15,928.98,929.12,-0.14,0.01,929.28,-0.30,929.39,-0.41,-0.11
CH3CH2CH3 (1.77) mode 8,1074.72,-0.68,1074.04,1074.77,-0.73,-0.05,1074.39,-0.35,1074.30,-0.25,0.10
CH3CH2CH3 (1.77) mode 9,1181.29,0.01,1181.30,1181.29,0.00,-0.01,1181.33,-0.04,1181.37,-0.08,-0.04
CH3CH2CH3 (1.77) mode 10,1217.56,-0.01,1217.54,1217.56,-0.01,0.00,1217.55,-0.01,1217.58,-0.03,-0.03
CH3CH2CH3 (1.77) mode 11,1319.31,0.00,1319.32,1319.31,0.00,-0.00,1319.31,0.01,1319.31,0.00,-0.00
CH3CH2CH3 (1.77) mode 12,1367.77,-0.63,1367.14,1367.65,-0.51,0.13,1367.65,-0.51,1367.47,-0.33,0.18
CH3CH2CH3 (1.77) mode 13,1406.58,0.95,1407.52,1406.61,0.91,-0.04,1406.66,0.87,1406.92,0.60,-0.26
CH3CH2CH3 (1.77) mode 14,1420.87,-0.06,1420.82,1420.87,-0.06,0.00,1420.82,-0.01,1420.81,0.00,0.00
CH3CH2CH3 (1.77) mode 15,1495.80,0.52,1496.30,1496.29,0.01,-0.48,1496.31,0.02,1496.44,-0.14,-0.13
CH3CH2CH3 (1.77) mode 16,1497.11,-0.52,1496.59,1496.71,-0.12,0.40,1496.57,0.02,1496.53,0.06,0.04
CH3CH2CH3 (1.77) mode 17,1503.80,0.08,1503.87,1503.79,0.09,0.01,1503.91,-0.03,1503.78,0.09,0.12
CH3CH2CH3 (1.77) mode 18,1513.83,-0.03,1513.81,1513.87,-0.06,-0.03,1513.81,-0.00,1513.80,0.00,0.00
CH3CH2CH3 (1.77) mode 19,1518.54,0.04,1518.59,1518.50,0.09,0.04,1518.46,0.11,1518.37,0.23,0.10
CH3CH2CH3 (1.77) mode 20,3026.60,0.10,3026.70,3026.62,0.08,-0.02,3026.66,0.04,3026.66,0.04,-0.00
CH3CH2CH3 (1.77) mode 21,3029.02,-0.25,3028.77,3029.08,-0.31,-0.06,3028.99,-0.22,3029.04,-0.27,-0.05
CH3CH2CH3 (1.77) mode 22,3033.53,0.20,3033.74,3033.55,0.19,-0.02,3033.44,0.29,3033.45,0.28,-0.01
CH3CH2CH3 (1.77) mode 23,3061.63,-0.17,3061.46,3061.56,-0.10,0.06,3061.48,-0.02,3061.47,-0.01,0.01
CH3CH2CH3 (1.77) mode 24,3093.68,0.03,3093.71,3093.60,0.11,0.08,3093.74,-0.03,3093.44,0.26,0.30
CH3CH2CH3 (1.77) mode 25,3104.58,0.10,3104.68,3104.41,0.28,0.18,3104.66,0.02,3104.72,-0.04,-0.06
CH3CH2CH3 (1.77) mode 26,3104.96,0.07,3105.03,3104.96,0.08,0.01,3105.04,-0.00,3105.23,-0.20,-0.20
CH3CH2CH3 (1.77) mode 27,3107.61,0.14,3107.74,3107.84,-0.10,-0.23,3107.75,0.00,3107.74,0.01,0.01
CH2CHCN (1.78) mode 1,227.13,-0.00,227.13,227.13,-0.00,-0.00,227.41,-0.29,227.41,-0.29,-0.00
CH2CHCN (1.78) mode 2,337.80,-0.06,337.74,337.80,-0.06,-0.00,338.15,-0.41,338.14,-0.41,0.00
CH2CHCN (1.78) mode 3,559.59,-0.08,559.50,559.58,-0.08,0.01,559.45,0.05,559.45,0.05,0.00
CH2CHCN (1.78) mode 4,688.12,0.00,688.12,688.12,0.00,0.00,688.29,-0.17,688.29,-0.17,-0.00
CH2CHCN (1.78) mode 5,873.79,-0.63,873.16,873.79,-0.64,-0.00,873.87,-0.72,873.87,-0.72,-0.00
CH2CHCN (1.78) mode 6,969.03,0.01,969.04,969.03,0.01,0.00,969.56,-0.52,969.56,-0.52,0.00
CH2CHCN (1.78) mode 7,993.48,0.01,993.49,993.48,0.01,-0.00,992.72,0.77,992.72,0.77,-0.00
CH2CHCN (1.78) mode 8,1103.99,0.15,1104.14,1103.98,0.15,0.00,1104.16,-0.03,1104.16,-0.03,-0.00
CH2CHCN (1.78) mode 9,1314.80,-0.40,1314.41,1314.81,-0.41,-0.01,1314.86,-0.46,1314.87,-0.47,-0.01
CH2CHCN (1.78) mode 10,1447.92,-0.80,1447.12,1447.92,-0.81,-0.01,1447.18,-0.06,1447.18,-0.06,-0.00
CH2CHCN (1.78) mode 11,1658.42,1.22,1659.64,1658.40,1.24,0.02,1659.55,0.09,1659.54,0.09,0.01
CH2CHCN (1.78) mode 12,2271.91,0.01,2271.91,2271.90,0.01,0.01,2271.42,0.49,2271.42,0.49,0.00
CH2CHCN (1.78) mode 13,3164.32,-0.00,3164.32,3164.32,0.00,0.00,3164.33,-0.01,3164.33,-0.01,0.00
CH2CHCN (1.78) mode 14,3202.59,-0.02,3202.58,3202.60,-0.02,-0.00,3202.54,0.04,3202.54,0.04,-0.00
CH2CHCN (1.78) mode 15,3262.54,0.03,3262.57,3262.54,0.03,0.00,3262.57,0.00,3262.57,0.01,0.00
N_CH3x3 (1.79) mode 1,240.80,-0.03,240.77,240.80,-0.02,0.01,240.98,-0.21,241.07,-0.30,-0.09
N_CH3x3 (1.79) mode 2,280.17,-0.19,279.99,280.06,-0.07,0.11,280.27,-0.28,280.22,-0.23,0.05
N_CH3x3 (1.79) mode 3,280.56,-0.56,280.00,280.07,-0.07,0.49,280.57,-0.57,280.76,-0.76,-0.19
N_CH3x3 (1.79) mode 4,375.80,-2.69,373.11,373.17,-0.06,2.63,376.42,-3.30,373.71,-0.60,2.70
N_CH3x3 (1.79) mode 5,416.71,0.55,417.26,417.24,0.03,-0.52,417.01,0.25,417.08,0.18,-0.07
N_CH3x3 (1.79) mode 6,417.22,0.04,417.26,417.24,0.03,-0.01,417.08,0.18,417.38,-0.12,-0.31
N_CH3x3 (1.79) mode 7,847.67,-0.14,847.53,847.65,-0.13,0.01,847.58,-0.05,847.62,-0.09,-0.04
N_CH3x3 (1.79) mode 8,1063.61,-0.02,1063.58,1063.62,-0.03,-0.01,1063.62,-0.04,1063.75,-0.17,-0.13
N_CH3x3 (1.79) mode 9,1065.80,-0.80,1065.00,1065.76,-0.76,0.05,1066.37,-1.37,1066.66,-1.66,-0.29
N_CH3x3 (1.79) mode 10,1065.82,-0.81,1065.00,1065.76,-0.75,0.06,1066.51,-1.51,1067.80,-2.79,-1.29
N_CH3x3 (1.79) mode 11,1120.59,-0.03,1120.56,1120.55,0.01,0.05,1120.09,0.47,1120.61,-0.05,-0.52
N_CH3x3 (1.79) mode 12,1120.65,-0.08,1120.56,1120.55,0.01,0.10,1120.38,0.18,1120.76,-0.20,-0.38
N_CH3x3 (1.79) mode 13,1215.02,0.47,1215.49,1215.58,-0.09,-0.56,1214.77,0.72,1215.97,-0.48,-1.20
N_CH3x3 (1.79) mode 14,1309.65,0.21,1309.86,1309.78,0.08,-0.13,1309.23,0.62,1310.05,-0.19,-0.82
N_CH3x3 (1.79) mode 15,1309.74,0.12,1309.86,1309.80,0.06,-0.07,1309.46,0.40,1313.75,-3.89,-4.29
N_CH3x3 (1.79) mode 16,1436.44,0.30,1436.74,1436.44,0.30,-0.00,1436.67,0.07,1441.11,-4.37,-4.44
N_CH3x3 (1.79) mode 17,1436.45,0.29,1436.75,1436.46,0.29,-0.01,1438.14,-1.40,1441.19,-4.44,-3.05
N_CH3x3 (1.79) mode 18,1479.01,-0.43,1478.58,1478.63,-0.05,0.38,1478.67,-0.09,1478.26,0.32,0.41
N_CH3x3 (1.79) mode 19,1488.71,-0.02,1488.68,1488.65,0.03,0.05,1489.38,-0.70,1487.26,1.42,2.12
N_CH3x3 (1.79) mode 20,1488.74,-0.06,1488.69,1488.75,-0.07,-0.01,1490.51,-1.82,1496.45,-7.76,-5.94
N_CH3x3 (1.79) mode 21,1496.53,-0.04,1496.49,1496.61,-0.12,-0.07,1492.74,3.75,1497.32,-0.83,-4.57
N_CH3x3 (1.79) mode 22,1507.69,0.50,1508.19,1508.12,0.08,-0.43,1508.08,0.11,1500.11,8.08,7.97
N_CH3x3 (1.79) mode 23,1517.10,0.02,1517.12,1517.13,-0.01,-0.03,1516.82,0.30,1508.72,8.39,8.09
N_CH3x3 (1.79) mode 24,1517.12,0.00,1517.13,1517.17,-0.04,-0.05,1516.97,0.15,1511.95,5.18,5.03
N_CH3x3 (1.79) mode 25,2925.67,-0.37,2925.30,2925.40,-0.10,0.27,2925.27,0.03,2925.28,0.02,-0.01
N_CH3x3 (1.79) mode 26,2925.67,-0.37,2925.31,2925.67,-0.36,-0.00,2925.35,-0.05,2925.32,-0.01,0.02
N_CH3x3 (1.79) mode 27,2935.15,-0.35,2934.80,2935.42,-0.62,-0.27,2934.87,-0.07,2934.90,-0.09,-0.03
N_CH3x3 (1.79) mode 28,3068.06,0.43,3068.48,3067.83,0.65,0.23,3068.43,0.06,3068.48,-0.00,-0.05
N_CH3x3 (1.79) mode 29,3068.07,0.42,3068.48,3068.06,0.42,0.01,3068.47,0.02,3068.57,-0.09,-0.10
N_CH3x3 (1.79) mode 30,3071.51,0.42,3071.93,3071.75,0.18,-0.24,3071.81,0.11,3071.76,0.16,0.05
N_CH3x3 (1.79) mode 31,3112.22,0.03,3112.25,3111.88,0.37,0.34,3112.32,-0.07,3112.20,0.05,0.12
N_CH3x3 (1.79) mode 32,3116.39,0.05,3116.44,3116.40,0.04,-0.01,3116.28,0.15,3116.08,0.35,0.20
N_CH3x3 (1.79) mode 33,3116.40,0.04,3116.44,3116.73,-0.30,-0.34,3116.38,0.06,3116.25,0.19,0.13
CH_CH3x3 (1.80) mode 1,200.17,-0.06,200.11,200.17,-0.06,-0.00,200.26,-0.15,200.42,-0.30,-0.15
CH_CH3x3 (1.80) mode 2,259.10,-0.14,258.95,259.10,-0.15,-0.00,259.05,-0.10,260.35,-1.40,-1.30
CH_CH3x3 (1.80) mode 3,259.11,-0.14,258.97,259.11,-0.14,-0.00,259.14,-0.18,260.49,-1.52,-1.34
CH_CH3x3 (1.80) mode 4,359.13,0.02,359.15,359.13,0.02,0.00,359.14,0.01,358.37,0.78,0.78
CH_CH3x3 (1.80) mode 5,359.13,0.02,359.15,359.13,0.02,0.00,359.24,-0.08,359.11,0.05,0.13
CH_CH3x3 (1.80) mode 6,423.42,-0.07,423.35,423.41,-0.06,0.01,423.49,-0.13,423.47,-0.12,0.01
CH_CH3x3 (1.80) mode 7,809.09,-0.16,808.93,809.10,-0.17,-0.01,809.01,-0.08,808.98,-0.05,0.03
CH_CH3x3 (1.80) mode 8,921.84,-0.20,921.64,921.84,-0.20,-0.00,922.38,-0.74,922.37,-0.73,0.01
CH_CH3x3 (1.80) mode 9,921.84,-0.20,921.64,921.84,-0.20,-0.00,922.51,-0.86,922.93,-1.29,-0.42
CH_CH3x3 (1.80) mode 10,952.78,-0.04,952.74,952.79,-0.05,-0.01,952.85,-0.11,952.95,-0.21,-0.11
CH_CH3x3 (1.80) mode 11,985.57,-0.75,984.82,985.53,-0.71,0.03,984.74,0.08,984.68,0.14,0.06
CH_CH3x3 (1.80) mode 12,985.57,-0.75,984.82,985.53,-0.71,0.04,984.93,-0.11,985.17,-0.35,-0.23
CH_CH3x3 (1.80) mode 13,1199.46,-0.03,1199.43,1199.50,-0.07,-0.04,1199.32,0.11,1199.10,0.33,0.22
CH_CH3x3 (1.80) mode 14,1199.46,-0.03,1199.43,1199.50,-0.07,-0.04,1199.42,0.01,1199.55,-0.12,-0.13
CH_CH3x3 (1.80) mode 15,1214.08,-0.02,1214.06,1214.09,-0.03,-0.00,1214.11,-0.05,1214.14,-0.09,-0.04
CH_CH3x3 (1.80) mode 16,1362.28,-0.65,1361.63,1362.32,-0.69,-0.04,1361.75,-0.12,1363.61,-1.98,-1.86
CH_CH3x3 (1.80) mode 17,1362.28,-0.65,1361.64,1362.33,-0.69,-0.04,1361.90,-0.27,1366.93,-5.29,-5.03
CH_CH3x3 (1.80) mode 18,1400.39,0.95,1401.34,1400.31,1.03,0.07,1400.78,0.56,1397.11,4.23,3.67
CH_CH3x3 (1.80) mode 19,1400.42,0.93,1401.34,1400.32,1.03,0.10,1400.95,0.40,1399.19,2.15,1.76
CH_CH3x3 (1.80) mode 20,1425.70,-0.02,1425.68,1425.66,0.02,0.04,1425.68,-0.00,1425.63,0.05,0.05
CH_CH3x3 (1.80) mode 21,1487.56,-0.05,1487.52,1487.52,-0.00,0.04,1487.47,0.05,1487.49,0.03,-0.02
CH_CH3x3 (1.80) mode 22,1493.95,0.02,1493.95,1493.96,-0.01,-0.02,1493.84,0.12,1493.43,0.52,0.41
CH_CH3x3 (1.80) mode 23,1493.95,0.02,1493.96,1493.99,-0.02,-0.04,1494.01,-0.04,1494.66,-0.70,-0.65
CH_CH3x3 (1.80) mode 24,1511.75,0.16,1511.92,1511.78,0.14,-0.03,1511.78,0.14,1510.30,1.62,1.48
CH_CH3x3 (1.80) mode 25,1511.75,0.17,1511.92,1511.82,0.10,-0.07,1511.78,0.14,1511.34,0.58,0.44
CH_CH3x3 (1.80) mode 26,1519.45,-0.00,1519.45,1519.47,-0.02,-0.01,1519.50,-0.05,1519.52,-0.07,-0.02
CH_CH3x3 (1.80) mode 27,3019.96,0.02,3019.98,3019.24,0.74,0.72,3019.95,0.03,3019.56,0.42,0.39
CH_CH3x3 (1.80) mode 28,3019.96,0.02,3019.98,3019.93,0.05,0.04,3019.98,-0.00,3019.92,0.06,0.06
CH_CH3x3 (1.80) mode 29,3022.28,-1.64,3020.64,3022.80,-2.16,-0.52,3020.71,-0.07,3021.10,-0.46,-0.39
CH_CH3x3 (1.80) mode 30,3023.47,1.52,3024.99,3023.73,1.26,-0.26,3024.89,0.10,3025.00,-0.00,-0.10
